Table with row headers in column A and column headers in rows 17 through 18.,,,,,
Census 2000 PHC-T-18. American Indian and Alaska Native Tribes in the United States: 2000,,,,,
,,,,,
Description of Table 1.,,,,,
This table shows data for American Indian and Alaska Native tribes alone and alone or in combination for the United States.,,,,,
"Those respondents who reported as American Indian or Alaska Native only and one tribe are shown in column 1. Respondents who reported two or more American Indian or Alaska Native tribes, but no other race are shown in column 2. Those respondents who reported as American Indian or Alaska Native and at least one other race and one tribe are shown in column 3. Respondents who reported as American Indian or Alaska Native and at least one other race and two or more tribes are shown in column 4. Those respondents who reported as American Indian or Alaska Native in any combination of race(s) or tribe(s) are shown in column 5, and is the sum of the numbers in columns 1 through 4. For an explanation of the alone and alone or in combination concepts used in this table see ""The American Indian and Alaska Native Population: 2000"", U.S. Census Bureau, Census 2000 Brief, C2KBR/01-15 at www.census.gov/population/www/cen2000/briefs.html.",,,,,
"Table 1. American Indian and Alaska Native Alone and Alone or in Combination Population by Tribe/1
			  for the United States: 2000",,,,,
,,,,,
"Source: U.S. Census Bureau, Census 2000, special tabulation.  ",,,,,
Internet release date: September 2002,,,,,
"Last Revised date: June 30, 2004",,,,,
,,,,,
"Note: Respondents who identified themselves as American Indian or Alaska Native were asked to report their enrolled or principal tribe. Therefore, tribal data in this data product reflect the written tribal entries reported on the questionnaire. Some of the entries (for example, Iroquois, Sioux, Colorado River, and Flathead) represent nations or reservations. The information on tribe is based on self-identification and includes federally- or state-recognized tribes, as well as bands and clans. ",,,,,

"(For information on confidentiality protection, nonsampling error, and definitions, see www.census.gov/prod/cen2000/doc/sf1.pdf)",,,,,
Table with row headers in column A and column headers in rows 13 and 14,,,,,
American Indian and Alaska Native Tribes,"American Indian and
Alaska Native alone",,American Indian and Alaska Native in combination with one or more races,,American Indian and Alaska Native tribe alone or in any combination
,"One tribe
reported","Two or more
tribes reported","One tribe
reported","Two or more
tribes reported",
.Sioux----------------------------------------------------------------------------------------------------------------------------------------------,"21,886","3,883","19,378","4,275","49,422"
.Sisseton-Wahpeton--------------------------------------------------------------------------------------------------------------------------,"5,115",27,631,2,"5,775"
.Sisseton Sioux--------------------------------------------------------------------------------------------------------------------------------,672,10,145,9,836
.Spirit Lake Sioux (formerly Devils Lake Sioux)------------------------------------------------------------------------------------,"2,430",23,142,-,"2,595"
.Standing Rock Sioux------------------------------------------------------------------------------------------------------------------------,"8,714",76,680,11,"9,481"
.Teton Sioux------------------------------------------------------------------------------------------------------------------------------------,"5,326",914,"4,306",636,"11,182"
.Two Kettle Sioux------------------------------------------------------------------------------------------------------------------------------,1,1,1,-,3
.Upper Sioux------------------------------------------------------------------------------------------------------------------------------------,84,3,16,-,103
.Wahpekute Sioux---------------------------------------------------------------------------------------------------------------------------,-,-,-,-,-
.Wahpeton Sioux-------------------------------------------------------------------------------------------------------------------------------,64,5,37,-,106
.Wazhaza Sioux--------------------------------------------------------------------------------------------------------------------------------,-,1,1,-,2
.Yankton Sioux----------------------------------------------------------------------------------------------------------------------------------,"4,941",44,760,19,"5,764"
.Yanktonai Sioux-------------------------------------------------------------------------------------------------------------------------------,2,-,3,1,6
Siuslaw-------------------------------------------------------------------------------------------------------------------------------------------,23,3,8,2,36
Spokane----------------------------------------------------------------------------------------------------------------------------------------,"2,198",26,418,11,"2,653"
Stockbridge-Munsee Community of Mohican Indians of Wisconsin--------------------------------------------------------,"2,012",124,"1,267",174,"3,577"
Tohono O?Odham------------------------------------------------------------------------------------------------------------------------------,"17,466",714,"1,748",159,"20,087"
.Ak-Chin-------------------------------------------------------------------------------------------------------------------------------------------,492,4,13,3,512
.Gila Bend----------------------------------------------------------------------------------------------------------------------------------------,26,1,4,-,31
.San Xavier---------------------------------------------------------------------------------------------------------------------------------------,4,1,2,-,7
.Sells--------------------------------------------------------------------------------------------------------------------------------------------,5,10,2,-,17
.Tohono O?Odham----------------------------------------------------------------------------------------------------------------------------,"16,937",702,"1,727",156,"19,522"
Tolowa--------------------------------------------------------------------------------------------------------------------------------------------,649,91,195,25,960
.Tolowa--------------------------------------------------------------------------------------------------------------------------------------------,503,83,165,23,774
.Big Lagoon Rancheria----------------------------------------------------------------------------------------------------------------------,4,-,1,-,5
.Elk Valley Rancheria------------------------------------------------------------------------------------------------------------------------,15,2,4,-,21
.Smith River Rancheria---------------------------------------------------------------------------------------------------------------------,127,6,25,2,160
Tonkawa------------------------------------------------------------------------------------------------------------------------------------------,241,27,58,7,333
Cher-Ae Indian Community of Trinidad Rancheria----------------------------------------------,6,2,9,-,17
Tygh------------------------------------------------------------------------------------------------------------------------------------------------,8,-,14,-,22
Umatilla-------------------------------------------------------------------------------------------------------------------------------------------,"1,549",143,302,39,"2,033"
Umpqua------------------------------------------------------------------------------------------------------------------------------------------,736,21,283,11,"1,051"
.Cow Creek Umpqua-------------------------------------------------------------------------------------------------------------------------,516,13,155,7,691
.Umpqua------------------------------------------------------------------------------------------------------------------------------------------,220,8,128,4,360
Ute-------------------------------------------------------------------------------------------------------------------------------------------------,"7,309",715,"1,944",417,"10,385"
.Allen Canyon---------------------------------------------------------------------------------------------------------------------------------,-,-,-,-,-
.Uintah Ute-------------------------------------------------------------------------------------------------------------------------------------,875,28,99,3,"1,005"
.Ute Mountain-----------------------------------------------------------------------------------------------------------------------------------,"1,478",12,64,-,"1,554"
.Ute-------------------------------------------------------------------------------------------------------------------------------------------------,"3,839",634,"1,622",411,"6,506"
.Southern Ute-----------------------------------------------------------------------------------------------------------------------------------,"1,117",41,159,3,"1,320"
Wailaki------------------------------------------------------------------------------------------------------------------------------------------,965,307,388,72,"1,732"
Walla-Walla-------------------------------------------------------------------------------------------------------------------------------------,143,46,83,14,286
Wampanoag-----------------------------------------------------------------------------------------------------------------------------------,"2,336",70,"2,050",138,"4,594"
.Gay Head (Aquinnah) Wampanoag--------------------------------------------------------------------------------------------------,328,1,78,1,408
.Mashpee Wampanoag----------------------------------------------------------------------------------------------------------------------,157,6,101,8,272
.Wampanoag------------------------------------------------------------------------------------------------------------------------------------,"1,764",69,"1,803",137,"3,773"
.Seaconeke Wampanoag-------------------------------------------------------------------------------------------------------------------,71,-,57,-,128
.Pocasset Wampanoag---------------------------------------------------------------------------------------------------------------------,13,-,7,-,20
Warm Springs---------------------------------------------------------------------------------------------------------------------------------,"2,804",157,192,26,"3,179"
